n	Binary search (including sort)	Binary search (excluding sort)	Linear search
47000	0.007233715057373047	5.078315734863281e-06	0.004575705528259278
48000	0.0074503421783447266	4.720687866210938e-06	0.004821562767028808
49000	0.00775442123413086	4.911422729492188e-06	0.004952287673950196
50000	0.007825636863708496	4.863739013671875e-06	0.004933476448059082
51000	0.00810999870300293	4.792213439941407e-06	0.0052277565002441405
52000	0.008308696746826171	4.792213439941407e-06	0.005430912971496582
53000	0.00866992473602295	4.673004150390625e-06	0.005551648139953613
54000	0.008794498443603516	4.673004150390625e-06	0.005621600151062012
55000	0.00886533260345459	4.410743713378906e-06	0.005615997314453125
56000	0.009248590469360352	4.911422729492188e-06	0.005858850479125976
57000	0.009523606300354004	5.0067901611328125e-06	0.0060996532440185545
58000	0.009514808654785156	4.792213439941407e-06	0.006027436256408692
59000	0.010174012184143067	4.9591064453125e-06	0.006410384178161621
60000	0.010448479652404785	4.839897155761719e-06	0.0065880298614501955
61000	0.01022336483001709	4.696846008300781e-06	0.006511259078979492
62000	0.010557603836059571	4.935264587402344e-06	0.006646370887756348
63000	0.010621976852416993	4.76837158203125e-06	0.006682634353637695
64000	0.011065340042114258	4.839897155761719e-06	0.006753659248352051
65000	0.011179924011230469	4.696846008300781e-06	0.006931900978088379
66000	0.011533617973327637	5.14984130859375e-06	0.007020497322082519
67000	0.011528229713439942	5.125999450683594e-06	0.007152485847473145
68000	0.011486506462097168	5.388259887695313e-06	0.007120943069458008
69000	0.011656546592712402	5.125999450683594e-06	0.007314038276672363
70000	0.011930894851684571	5.173683166503906e-06	0.007353448867797851
71000	0.012110328674316407	5.173683166503906e-06	0.007572746276855469
72000	0.01253209114074707	4.863739013671875e-06	0.007645988464355468
73000	0.012900853157043457	5.269050598144532e-06	0.007817935943603516
74000	0.013281798362731934	5.197525024414063e-06	0.00790548324584961
75000	0.013492751121520995	5.173683166503906e-06	0.008165931701660157
76000	0.013768911361694336	5.173683166503906e-06	0.008256077766418457
77000	0.014046406745910645	5.197525024414063e-06	0.00837695598602295
78000	0.014384794235229491	5.197525024414063e-06	0.00841972827911377
79000	0.01448216438293457	5.102157592773437e-06	0.008510017395019531
80000	0.014759635925292969	5.245208740234375e-06	0.008764314651489257
81000	0.014741230010986327	5.245208740234375e-06	0.008774399757385254
82000	0.015072917938232422	5.030632019042969e-06	0.008949518203735352
83000	0.015425968170166015	5.14984130859375e-06	0.009016919136047363
84000	0.01583983898162842	5.197525024414063e-06	0.009185051918029786
85000	0.016008973121643066	5.173683166503906e-06	0.009254121780395507
86000	0.016278553009033202	5.269050598144532e-06	0.009406781196594239
87000	0.016339492797851563	5.197525024414063e-06	0.009380626678466796
88000	0.016601037979125977	5.054473876953125e-06	0.009666967391967773
89000	0.016898202896118163	5.221366882324218e-06	0.009924674034118652
90000	0.017201757431030272	5.0067901611328125e-06	0.009919285774230957
91000	0.01745593547821045	4.9591064453125e-06	0.010001063346862793
92000	0.017589879035949708	5.197525024414063e-06	0.010091733932495118
93000	0.017885899543762206	5.14984130859375e-06	0.010173869132995606
94000	0.01819770336151123	5.0067901611328125e-06	0.01026911735534668
95000	0.018405055999755858	5.173683166503906e-06	0.01037135124206543
96000	0.019249510765075684	5.173683166503906e-06	0.01060786247253418
97000	0.019214344024658204	5.14984130859375e-06	0.010731363296508789
98000	0.019432806968688966	5.197525024414063e-06	0.010937666893005371
99000	0.01966724395751953	5.269050598144532e-06	0.011119985580444336
